country,year,sex,age,population,suicides_per_100k,country_year,gdp_per_capita_dollars,generation
Albania,1987,male,15-24 years,312900,6.71,Albania1987,796,Generation X
Albania,1987,male,35-54 years,308000,5.19,Albania1987,796,Silent
Albania,1987,female,15-24 years,289700,4.83,Albania1987,796,Generation X
Albania,1987,male,75+ years,21800,4.59,Albania1987,796,G.I. Generation
Albania,1987,male,25-34 years,274300,3.28,Albania1987,796,Boomers
Albania,1987,female,75+ years,35600,2.81,Albania1987,796,G.I. Generation
Albania,1987,female,35-54 years,278800,2.15,Albania1987,796,Silent
Albania,1987,female,25-34 years,257200,1.56,Albania1987,796,Boomers
Albania,1987,male,55-74 years,137500,0.73,Albania1987,796,G.I. Generation
Albania,1987,female,5-14 years,311000,0,Albania1987,796,Generation X
Albania,1987,female,55-74 years,144600,0,Albania1987,796,G.I. Generation
Albania,1987,male,5-14 years,338200,0,Albania1987,796,Generation X
Albania,1988,female,75+ years,36400,5.49,Albania1988,769,G.I. Generation
Albania,1988,male,15-24 years,319200,5.33,Albania1988,769,Generation X
Albania,1988,male,75+ years,22300,4.48,Albania1988,769,G.I. Generation
Albania,1988,male,35-54 years,314100,4.46,Albania1988,769,Silent
Albania,1988,male,55-74 years,140200,2.85,Albania1988,769,G.I. Generation
Albania,1988,female,15-24 years,295600,2.71,Albania1988,769,Generation X
Albania,1988,female,55-74 years,147500,2.03,Albania1988,769,G.I. Generation
Albania,1988,female,25-34 years,262400,1.91,Albania1988,769,Boomers
Albania,1988,male,25-34 years,279900,1.79,Albania1988,769,Boomers
Albania,1988,female,35-54 years,284500,1.41,Albania1988,769,Silent
Albania,1988,female,5-14 years,317200,0,Albania1988,769,Generation X
Albania,1988,male,5-14 years,345000,0,Albania1988,769,Generation X
Albania,1989,male,75+ years,22500,8.89,Albania1989,833,G.I. Generation
Albania,1989,male,25-34 years,283600,6.35,Albania1989,833,Boomers
Albania,1989,male,35-54 years,318400,4.71,Albania1989,833,Silent
Albania,1989,male,55-74 years,142100,4.22,Albania1989,833,G.I. Generation
Albania,1989,male,15-24 years,323500,3.71,Albania1989,833,Generation X
Albania,1989,female,35-54 years,288600,2.43,Albania1989,833,Silent
Albania,1989,female,15-24 years,299900,1.67,Albania1989,833,Generation X
Albania,1989,female,25-34 years,266300,0.75,Albania1989,833,Boomers
Albania,1989,female,55-74 years,149600,0.67,Albania1989,833,G.I. Generation
Albania,1989,female,5-14 years,321900,0,Albania1989,833,Generation X
Albania,1989,female,75+ years,37000,0,Albania1989,833,G.I. Generation
Albania,1989,male,5-14 years,349700,0,Albania1989,833,Generation X
Albania,1992,male,35-54 years,343800,3.49,Albania1992,251,Boomers
Albania,1992,male,15-24 years,263700,3.41,Albania1992,251,Generation X
Albania,1992,male,55-74 years,159500,3.13,Albania1992,251,Silent
Albania,1992,male,25-34 years,245500,2.85,Albania1992,251,Boomers
Albania,1992,female,15-24 years,292400,2.39,Albania1992,251,Generation X
Albania,1992,female,25-34 years,267400,1.5,Albania1992,251,Boomers
Albania,1992,female,35-54 years,323100,0.62,Albania1992,251,Boomers
Albania,1992,female,55-74 years,164900,0.61,Albania1992,251,Silent
Albania,1992,female,5-14 years,336700,0,Albania1992,251,Millenials
Albania,1992,female,75+ years,38700,0,Albania1992,251,G.I. Generation
Albania,1992,male,5-14 years,362900,0,Albania1992,251,Millenials
Albania,1992,male,75+ years,23900,0,Albania1992,251,G.I. Generation
Albania,1993,male,15-24 years,243300,7.4,Albania1993,437,Generation X
Albania,1993,male,55-74 years,165000,4.24,Albania1993,437,Silent
Albania,1993,male,75+ years,24200,4.13,Albania1993,437,G.I. Generation
Albania,1993,male,25-34 years,230100,3.91,Albania1993,437,Boomers
Albania,1993,female,15-24 years,285300,3.51,Albania1993,437,Generation X
Albania,1993,male,35-54 years,350300,2.85,Albania1993,437,Boomers
Albania,1993,female,25-34 years,261800,2.67,Albania1993,437,Boomers
Albania,1993,female,35-54 years,331200,2.11,Albania1993,437,Boomers
Albania,1993,female,55-74 years,169500,1.18,Albania1993,437,Silent
Albania,1993,female,5-14 years,340300,0.29,Albania1993,437,Millenials
Albania,1993,male,5-14 years,367000,0.27,Albania1993,437,Millenials
